price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
620415.6479217603,13.33814493227747,193.51704551520908,Detached,B4B0M9,B4B,cluster-07,3206.0,4.0,4,44.736067,-63.803134,-2854.3012774339777,2001.315690628489,4070.839908221956,,10.0,882b0e9017fffff,803500,481250.0,2022-01-04,1.2891753723049566,False
406090.2422760613,12.914330685501108,253.01572727480456,Duplex,B2W5A5,B2W,cluster-11,1605.0,4.0,2,44.686606,-63.502272,-2837.701008968832,1996.8927557992358,4032.5385491619836,,43.0,882b0c5b6bfffff,374500,315000.0,2022-01-04,1.2891753723049566,False
767059.3465214492,13.550319452221105,442.3640983399361,Townhouse,B3K1L9,B3K,cluster-04,1734.0,3.0,2,44.653357,-63.594886,-2839.725147932302,1993.9222913694489,4044.3095253529964,,,882b0c5965fffff,711400,595000.0,2022-01-04,1.2891753723049566,True
999110.9135363414,13.814621076028823,276.99221334525686,Detached,B4A3Z4,B4A,cluster-02,3607.0,4.0,3,44.711986,-63.68894,-2847.6589936348405,1999.1616920641964,4056.2810783236005,,34.0,882b012da7fffff,862600,775000.0,2022-01-04,1.2891753723049566,False
574972.2160480106,13.26207699869554,285.063071912747,Detached,B3R2L7,B3R,cluster-04,2017.0,3.0,2,44.584336,-63.585952,-2834.937448847872,1987.763016560896,4043.1732917463037,,36.0,882b0c59a9fffff,504800,446000.0,2022-01-04,1.2891753723049566,True
620737.9417648365,13.338664277913656,302.7989959828471,Detached,B2W2L3,B2W,cluster-01,2050.0,5.0,2,44.672988,-63.493654,-2836.451243218152,1995.6758568481437,4031.444098271716,,61.0,882b0c5b09fffff,554900,481500.0,2022-01-04,1.2891753723049566,False
451211.3803067348,13.019691201158935,190.8677581669775,Detached,B4C1P6,B4C,cluster-06,2364.0,3.0,2,44.769398,-63.671797,-2850.548021268206,2004.2989972824041,4054.097733209209,,53.0,882b012d07fffff,488500,350000.0,2022-01-04,1.2891753723049566,True
602044.8988664148,13.308087304344372,627.1301029858488,Detached,B4G1C4,B4G,cluster-06,960.0,2.0,1,44.843085,-63.684912,-2855.82792203352,2010.9022723172252,4055.768016447744,,50.0,882b0128a9fffff,486400,467000.0,2022-01-04,1.2891753723049566,False
713830.5845743498,13.478400936660684,319.8165701497983,Detached,B2W6M7,B2W,cluster-11,2232.0,3.0,3,44.669773,-63.512383,-2837.083731299059,1995.388619871529,4033.822794338689,,22.0,882b0c5b05fffff,632700,553711.0,2022-01-04,1.2891753723049566,False
567237.1638141809,13.248532773587781,327.50413615137467,Detached,B2W4K9,B2W,cluster-11,1732.0,5.0,2,44.676786,-63.501959,-2837.063432823774,1996.015207289796,4032.498796837681,,51.0,882b0c5b0dfffff,492900,440000.0,2022-01-04,1.2891753723049566,False
