price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
1798000.0,14.402185494013702,1519.8647506339814,Condo,V6E0B3,V6E,cluster-01,1183.0,2.0,3.0,49.2868444,-123.1241525,-6068.400946149371,2429.193030909811,15159.556928843254,6753.0
928000.0,13.740787011768338,1049.7737556561085,Condo,V6P3H7,V6P,cluster-00,884.0,2.0,2.0,49.2156531,-123.1163426,-6059.251208342352,2422.1805100595393,15157.633815200574,3289.0
918000.0,13.729952669602628,1126.3803680981596,Condo,V6P3H7,V6P,cluster-00,815.0,2.0,2.0,49.2156531,-123.1163426,-6059.251208342352,2422.1805100595393,15157.633815200574,3200.0
729000.0,13.499429010990795,1029.6610169491526,Condo,V6B1X9,V6B,cluster-01,708.0,1.0,1.0,49.2776305,-123.1229582,-6067.207640246545,2428.2848676945305,15159.262835918948,2327.0
899000.0,13.709038313453757,1042.9234338747099,Condo,V6B6J3,V6B,cluster-01,862.0,1.0,1.0,49.2757777,-123.1257613,-6067.117642962063,2428.102267939817,15159.953095704575,2535.0
2990000.0,14.91078394536687,1900.8264462809918,Condo,V6C3R5,V6C,cluster-01,1573.0,2.0,2.0,49.2901023,-123.1232033,-6068.755286160697,2429.514184744465,15159.32319085313,9168.0
569900.0,13.25321618582309,1038.0692167577413,Condo,V5R0B2,V5R,cluster-08,549.0,1.0,1.0,49.2412212,-123.0575805,-6059.505541737306,2424.6978652673292,15143.16811851398,1757.0
2200000.0,14.603967918328545,973.0207872622733,Detached,V5P1H8,V5P,cluster-08,2261.0,4.0,2.0,49.2346082,-123.0607289,-6058.846772197917,2424.046644607507,15143.942997399296,8367.0
770000.0,13.554145793829866,1026.6666666666667,Condo,V6Z1B1,V6Z,cluster-01,750.0,2.0,0.0,49.2792468,-123.1255314,-6067.53344924175,2428.4441651753104,15159.896482532386,1879.0
799000.0,13.591116224748411,1161.3372093023256,Condo,V6E0A7,V6E,cluster-01,688.0,1.0,1.0,49.2881661,-123.1241567,-6068.563886352028,2429.323317501189,15159.557963086156,2363.0
699000.0,13.457406021215947,1188.7755102040817,Condo,V6B0J2,V6B,cluster-05,588.0,1.0,1.0,49.2788252,-123.1077788,-6066.606712245466,2428.402613092155,15155.525201069731,1953.0
1600000.0,14.28551418721001,1398.6013986013986,Condo,V6G3G4,V6G,cluster-01,1144.0,2.0,2.0,49.2923591,-123.1326009,-6069.496380479783,2429.736665643353,15161.637404398682,4470.0
948000.0,13.762109781237159,1083.4285714285713,Condo,V6J2B3,V6J,cluster-06,875.0,2.0,2.0,49.2625831,-123.1514328,-6066.757692194065,2426.8020936844055,15166.275400692915,2790.0
599000.0,13.303016877097587,1065.8362989323844,Condo,V6B1R1,V6B,cluster-05,562.0,1.0,1.0,49.2797761,-123.1055799,-6066.61541413266,2428.496332466131,15154.983802515282,1704.0
889000.0,13.697852514496041,1253.8787023977434,Condo,V6B0M2,V6B,cluster-01,709.0,2.0,1.0,49.2755788,-123.1278306,-6067.195119203351,2428.0826660750095,15160.462668262295,2360.0
489900.0,13.101956567626667,1189.0776699029127,Condo,V6B2J3,V6B,cluster-05,412.0,1.0,1.0,49.2817925,-123.104127,-6066.792042707648,2428.6950720130562,15154.62608443213,1147.0
1068000.0,13.881298298502276,1363.984674329502,Condo,V6Z0E7,V6Z,cluster-05,783.0,2.0,2.0,49.2749667,-123.1153764,-6066.506072367966,2428.022343286109,15157.395906113677,3508.0
