category,extremeKind,aan,prevSaleDate,nextSaleDate,prevSalePrice,nextSalePrice,rawRatio,adjustedRatio,excessUplift,pairId
Renovation,high,1004727,2021-04-15,2022-04-07,120000.0,527000.0,4.391666666666667,3.2791111111111113,2.2439240024315668,120
Renovation,high,4757734,2021-04-15,2022-01-05,200000.0,628000.0,3.14,2.735896865970216,1.7007097572906715,9051
Renovation,high,4176901,2022-09-09,2023-04-21,235000.0,640000.0,2.723404255319149,2.6926313258805146,1.6574442172009702,8421
Renovation,high,2231344,2022-06-23,2024-12-17,625000.0,1700000.0,2.72,2.669158878504673,1.6339717698251286,5852
Renovation,high,4943066,2019-12-20,2021-04-30,267500.0,910000.0,3.4018691588785046,2.60260347129506,1.5674163626155158,9315
Renovation,low,1675001,2015-07-30,2025-08-07,345000.0,287500.0,0.8333333333333334,0.4108187134502924,-0.6243683952292519,4955
Renovation,low,1439693,2016-09-02,2025-06-04,440000.0,630000.0,1.4318181818181819,0.6847826086956522,-0.3504044999838921,4649
Renovation,low,3662063,2022-06-30,2025-07-15,975000.0,785000.0,0.8051282051282052,0.74799029504712,-0.28719681363242433,7633
Renovation,low,919373,2021-08-04,2024-08-30,513000.0,513000.0,1.0,0.751131221719457,-0.2840558869600873,14677
Renovation,low,1991191,2021-02-24,2022-05-25,2250000.0,2595000.0,1.1533333333333333,0.7908571428571428,-0.24432996582240152,5431
Addition,high,1564676,2024-08-28,2025-04-17,560000.0,1500000.0,2.6785714285714284,2.573757763975155,1.5385706552956109,4802
Addition,high,3211584,2023-07-28,2025-02-03,185000.0,477000.0,2.5783783783783782,2.5350037888355645,1.4998166801560202,7031
Addition,high,1390163,2021-02-09,2024-08-02,285000.0,1100000.0,3.8596491228070176,2.514884496308645,1.4796973876291009,4526
Addition,high,952125,2024-08-28,2025-10-16,355000.0,887500.0,2.5,2.4232456140350878,1.3880585053555434,15555
Addition,high,4038827,2016-10-04,2025-11-14,670000.0,3200000.0,4.776119402985074,2.3808528784648186,1.3456657697852743,8202
Addition,low,9195173,2021-01-05,2025-11-17,729900.0,910176.0,1.2469872585285655,0.760395016147026,-0.27479209253251835,14686
Addition,low,3988392,2022-03-23,2024-09-27,455000.0,393100.0,0.863956043956044,0.7868452130747212,-0.24834189560482312,8130
Addition,low,3105911,2018-12-07,2024-07-31,445000.0,707000.0,1.5887640449438203,0.7915064314403376,-0.24368067723920672,6920
Addition,low,3349578,2020-12-15,2023-04-03,250000.0,294500.0,1.178,0.826427200821777,-0.20875990785776732,7225
Addition,low,671819,2021-02-25,2023-09-15,229000.0,270000.0,1.1790393013100438,0.8469594432642804,-0.18822766541526392,11692
