market,rowIndex,reasons,price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
vancouver,8,zero_baths,770000.0,13.554145793829866,1026.6666666666667,Condo,V6Z1B1,V6Z,cluster-01,750.0,2.0,0.0,49.2792468,-123.1255314,-6067.53344924175,2428.4441651753104,15159.896482532386,1879.0
vancouver,22,zero_beds,758800.0,13.539493517042995,1611.04033970276,Condo,V6T1W5,V6T,cluster-07,471.0,0.0,1.0,49.2518259,-123.2375802,-6069.675844347687,2425.7423544839107,15187.50117355143,
vancouver,58,zero_beds,519000.0,13.159659162148026,1153.3333333333333,Condo,V6Z3G4,V6Z,cluster-01,450.0,0.0,1.0,49.2816882,-123.12427,-6067.771883992614,2428.684791842019,15159.585863032898,1532.0
vancouver,93,zero_beds,688000.0,13.44154411691548,932.2493224932248,Condo,V6B6G8,V6B,cluster-05,738.0,0.0,1.0,49.2807959,-123.108685,-6066.8939790023915,2428.596844537457,15155.748322429225,1929.0
vancouver,135,zero_beds,538900.0,13.197285303921587,1250.348027842227,Condo,V6Z2J1,V6Z,cluster-01,431.0,0.0,1.0,49.2824772,-123.1233402,-6067.823206194344,2428.76255896852,15159.356902004936,1400.0
vancouver,189,zero_baths,1990000.0,14.503645196700676,1478.4546805349182,Duplex,V6P4T5,V6P,cluster-00,1346.0,3.0,0.0,49.2115883,-123.1373513,-6059.78463652807,2421.780423008697,15162.807285179611,
vancouver,195,zero_baths,3988000.0,15.198800410063866,1857.475547275268,Detached,V5N5J2,V5N,cluster-08,2147.0,5.0,0.0,49.24564,-123.0571387,-6060.027551850268,2425.1330590096,15143.059385031036,7512.0
vancouver,214,tax_eq_1_suspicious,3099000.0,14.946590036769884,1393.4352517985612,Detached,V5K2R2,V5K,cluster-02,2224.0,6.0,6.0,49.2768618,-123.0541897,-6063.724299757883,2428.2091088562993,15142.333602723584,1.0
vancouver,353,zero_beds,668000.0,13.412043452518782,1436.5591397849462,Condo,V6Z0G7,V6Z,cluster-01,465.0,0.0,1.0,49.2783152,-123.1284659,-6067.563352712652,2428.352348950551,15160.619114887462,1983.0
vancouver,456,zero_beds,535000.0,13.190022025878145,1053.1496062992126,Condo,V6H0A7,V6H,cluster-01,508.0,0.0,1.0,49.2631192,-123.128154,-6065.676927377956,2426.8549133134084,15160.542307447717,1781.0
vancouver,496,zero_beds,525000.0,13.17115354157376,1255.9808612440193,Condo,V6B3M7,V6B,cluster-01,418.0,0.0,1.0,49.2770552,-123.1250401,-6067.239397509914,2428.228169183847,15159.77549962661,1535.0
vancouver,498,tax_eq_1_suspicious,1699999.0,14.346138220790978,1086.2613418530352,Duplex,V5N3T9,V5N,cluster-09,1565.0,3.0,4.0,49.2407938,-123.0734834,-6060.236018347123,2424.6557740541184,15147.082316210077,1.0
vancouver,516,tax_eq_1_suspicious,1718000.0,14.356671381526338,1084.5959595959596,Duplex,V5N3T9,V5N,cluster-09,1584.0,3.0,4.0,49.2408351,-123.0732293,-6060.228589185788,2424.6598413453917,15147.019770330377,1.0
vancouver,548,zero_beds,399000.0,12.896716695872,1023.0769230769232,Condo,V6B6J3,V6B,cluster-01,390.0,0.0,1.0,49.2757777,-123.1257613,-6067.117642962063,2428.102267939817,15159.953095704575,1150.0
vancouver,550,zero_beds,669000.0,13.413539339110365,1096.72131147541,Condo,V5T0G7,V5T,cluster-05,610.0,0.0,1.0,49.2672399,-123.0957596,-6064.588318885928,2427.260927364152,15152.56603150099,2122.0
vancouver,555,zero_beds,715000.0,13.480037821676143,1045.321637426901,Condo,V6G3K4,V6G,cluster-01,684.0,0.0,1.0,49.289012,-123.1289735,-6068.905452389182,2429.406703936144,15160.744115163703,2119.0
vancouver,556,zero_beds,625000.0,13.34550692871854,1055.7432432432431,Condo,V6E4R2,V6E,cluster-01,592.0,0.0,1.0,49.2873722,-123.1263375,-6068.573623985318,2429.245058381333,15160.094986163907,2084.0
