price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed,price_to_assessed
390362.3027339409,12.87483056823877,84.38441477171226,Detached,B4B2G4,B4B,cluster-02,4626.0,5.0,5,44.700896,-63.711575,-2847.9644880712003,1998.170103202816,4059.1647889806254,,4.0,882b0e9745fffff,1842800,302800.0,2022-01-10,1.2891753723049566,False,0.21183107376489085
100555.6790397866,11.518466873365067,103.45234469113848,Detached,B3Z1B6,B3Z,cluster-07,972.0,2.0,1,44.662945,-63.796815,-2849.353639520175,1994.778656073025,4070.033604144225,,4.0,882b0e956bfffff,1041200,78000.0,2022-01-14,1.2891753723049566,False,0.09657671824797022
106356.96821515892,11.57455634001611,39.715074016116105,Detached,B3Z0R7,B3Z,cluster-07,2678.0,3.0,3,44.731803,-63.872476,-2857.131013554228,2000.934199630809,4079.693190370576,,2.0,882b0e9181fffff,825300,82500.0,2022-01-14,1.2891753723049566,False,0.12887067516679865
148255.16781507002,11.906690175038726,64.79683908001311,Detached,B2Y2J6,B2Y,cluster-11,2288.0,4.0,2,44.663838,-63.54519,-2838.17207183922,1994.858424890244,4037.9911721361,,3.0,882b0c5b27fffff,689800,115000.0,2022-01-14,1.2891753723049566,False,0.21492485911143813
180355.63458546344,12.102685928346911,68.57628691462489,Detached,B3R0B9,B3R,cluster-04,2630.0,3.0,4,44.573229,-63.572303,-2833.622819676387,1986.7727434864407,4041.437708723809,,3.0,882b0c5987fffff,677300,139900.0,2022-01-18,1.2891753723049566,False,0.2662861871924752
162436.09691042453,11.998039953626954,82.70677032099009,Detached,B2Z0C6,B2Z,cluster-01,1964.0,3.0,2,44.695205,-63.407088,-2833.9927966130404,1997.6613499920252,4020.458808639744,,2.0,882b0125d7fffff,687600,126000.0,2022-01-27,1.2891753723049566,False,0.23623632476792397
171460.32451655922,12.052107174897229,87.83828100233566,Detached,B3T2K3,B3T,cluster-10,1952.0,3.0,2,44.483013,-63.787082,-2837.4415978380657,1978.738445558169,4068.791830074724,,3.0,882b0e86e3fffff,969600,133000.0,2022-01-27,1.2891753723049566,False,0.1768361432720289
1289175.372304957,14.069513325657612,158.12282255672227,Detached,B4A2E9,B4A,cluster-02,8153.0,5.0,5,44.720994,-63.670673,-2847.415785208962,1999.9673043480357,4053.954600272929,,4.0,882b012da9fffff,4461600,1000000.0,2022-01-28,1.2891753723049566,False,0.28894911518400507
163709.80217826183,12.0058506404808,77.5875839707402,Detached,B3T0K4,B3T,cluster-02,2110.0,3.0,4,44.642047,-63.717501,-2844.479674364547,1992.912360350209,4059.9199336850006,,6.0,882b0e946bfffff,722100,126988.0,2022-01-31,1.2891753723049566,False,0.22671347760457253
193376.30584574348,12.17239334077173,87.65925015672869,Detached,B2T1G3,B2T,cluster-06,2206.0,3.0,3,44.791811,-63.647051,-2850.866679099361,2006.3063326597212,4050.947100996601,,4.0,882b012d45fffff,761900,150000.0,2022-01-31,1.2891753723049566,False,0.2538079877224616
101844.85441209158,11.531205899142495,67.53637560483526,Detached,B0J2L0,B0J,cluster-03,1508.0,3.0,2,44.728219,-62.922607,-2814.4161459469333,2000.6135749119612,3959.2544716764487,,3.0,882b0cc06dfffff,562800,79000.0,2022-01-31,1.2891753723049566,False,0.18096100641807317
147770.70063694267,11.90341703128823,79.96250034466594,Detached,B0J1T0,B0J,cluster-07,1848.0,3.0,3,44.634541,-64.035601,-2858.199658294141,1992.242250280681,4100.558195431201,,2.0,882b0e8133fffff,823000,120000.0,2022-02-01,1.2314225053078556,False,0.179551276594098
116985.13800424628,11.669802180106725,47.47773457964541,Detached,B3Z0T3,B3Z,cluster-07,2464.0,4.0,3,44.712307,-63.841021,-2854.479330145447,1999.1903972622492,4075.6759623224407,,3.0,882b0e90a5fffff,807100,95000.0,2022-02-01,1.2314225053078556,False,0.14494503531687064
114522.29299363056,11.64852478165944,63.097682090154585,Detached,B3Z1B8,B3Z,cluster-07,1815.0,4.0,3,44.670625,-63.821783,-2850.958935224375,1995.4647378906252,4073.21998529909,,2.0,882b0e9565fffff,659900,93000.0,2022-02-11,1.2314225053078556,False,0.17354492043283914
283227.1762208068,12.55400459742938,78.49977167982449,Detached,B3J1A4,B3J,cluster-04,3608.0,3.0,4,44.639643,-63.571056,-2837.789244973008,1992.6977271674489,4041.279160955136,,,882b0c590dfffff,950800,230000.0,2022-02-14,1.2314225053078556,True,0.29788302084645224
105286.62420382166,11.564441664448898,43.39926801476573,Detached,B2Z1J3,B2Z,cluster-01,2426.0,3.0,2,44.701263,-63.453003,-2836.429375242789,1998.2029137951688,4026.28358971801,,2.0,882b0125abfffff,721100,85500.0,2022-02-16,1.2314225053078556,False,0.14600835418641195
190870.4883227176,12.15935040542543,75.3237917611356,Detached,B2T1J1,B2T,cluster-06,2534.0,4.0,3,44.828612,-63.614999,-2851.772107551388,2009.604453846544,4046.868097770001,,3.0,882b0128dbfffff,681800,155000.0,2022-02-22,1.2314225053078556,False,0.2799508482292719
120229.93630573248,11.697161324198644,43.2793147248857,Detached,B3Z0A8,B3Z,cluster-07,2778.0,3.0,3,44.724524,-63.889089,-2857.409094318636,2000.283047026576,4081.815693249921,,3.0,882b0e9187fffff,799900,97635.0,2022-02-23,1.2314225053078556,False,0.15030620865824787
110704.88322717622,11.614623229983758,119.81047968309116,Detached,B2X2E8,B2X,cluster-11,924.0,3.0,3,44.713021,-63.545871,-2841.3278644862908,1999.2542469464408,4038.0777211486406,,4.0,882b012cc9fffff,540900,89900.0,2022-02-25,1.2314225053078556,False,0.20466792979696102
110828.025477707,11.61573495883645,41.75886415889488,Detached,B3Z0P8,B3Z,cluster-07,2654.0,4.0,4,44.723788,-63.891078,-2857.451027563464,2000.217213068944,4082.069848002084,,3.0,882b0e91bdfffff,1060100,90000.0,2022-02-28,1.2314225053078556,False,0.10454487829233751
260999.99999999997,12.47227568630483,43.05509732761465,Detached,B4B1X9,B4B,cluster-06,6062.0,3.0,4,44.763038,-63.767634,-2854.4330239120923,2003.7295709894445,4066.311145957956,,3.0,882b0e9051fffff,1611300,225000.0,2022-03-07,1.16,False,0.16198100912306831
192560.0,12.168163072456954,67.47021723896286,Detached,B3Z1H5,B3Z,cluster-07,2854.0,3.0,3,44.710888,-63.871359,-2855.7451786567917,1999.063505748544,4079.550500506881,,3.0,882b0e9195fffff,781500,166000.0,2022-03-07,1.16,False,0.24639795265515035
