price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
581056.466302368,13.272603219239588,265.92973286149567,Detached,B0N1V0,B0N,cluster-08,2185.0,3.0,3,44.915616,-63.231889,-2840.099245278624,2017.412560659456,3998.2717865083214,,19.0,882b013707fffff,523200,550000.0,2024-09-13,1.0564663023679417,False
417354.4973544973,12.941691253199012,281.61572021221144,Detached,B0J2L0,B0J,cluster-03,1482.0,3.0,1,44.760909,-63.164362,-2827.294259525058,2003.5389745062807,3989.736626867043,,29.0,882b0ccb31fffff,413800,340000.0,2022-10-31,1.2275132275132274,False
977714.2857142858,13.792972764938908,403.34747760490336,Detached,B3M0L2,B3M,cluster-02,2424.0,4.0,4,44.696239,-63.679834,-2846.249079944326,1997.7537807451208,4055.121258267556,,10.0,882b012db7fffff,828100,885000.0,2022-06-20,1.1047619047619048,False
596153.2710280373,13.298253079140364,253.03619313583928,Townhouse,B4A3B7,B4A,cluster-02,2356.0,3.0,4,44.712815,-63.683323,-2847.460639884245,1999.235825224225,4055.5656283223298,,45.0,882b012da3fffff,563700,549900.0,2024-12-17,1.0841121495327102,False
419574.4680851064,12.946996305428703,313.8178519709098,Duplex,B3G1N2,B3G,cluster-01,1337.0,3.0,2,44.61803,-63.478554,-2832.28802672862,1990.7686010809,4029.526817930917,,36.0,882b0c5843fffff,391300,340000.0,2022-12-29,1.2340425531914894,False
479919.2734611503,13.081373188450913,507.8510830276723,Detached,B2T1J1,B2T,cluster-06,945.0,2.0,2,44.826778,-63.613941,-2851.6080109120976,2009.440025861284,4046.733489551481,,49.0,882b0128dbfffff,439000,410000.0,2023-05-02,1.170534813319879,False
1072723.8095238097,13.885711588222303,401.0182465509569,Detached,B3N1X6,B3N,cluster-04,2675.0,4.0,4,44.642571,-63.628433,-2840.536837821243,1992.9591454900408,4048.577486035489,,72.0,882b0e9619fffff,1040700,971000.0,2022-04-14,1.1047619047619048,False
433739.1304347826,12.98019855041286,556.0758082497213,Detached,B3Z1C1,B3Z,cluster-07,780.0,2.0,1,44.675952,-63.821268,-2851.275905747136,1995.9406871063045,4073.1542491278246,,41.0,882b0e8259fffff,456800,430000.0,2025-04-04,1.008695652173913,False
325429.86425339367,12.692902246609886,239.46274043663993,Detached,B2T1E2,B2T,cluster-09,1359.0,3.0,1,44.922851,-63.527008,-2853.8143148598083,2018.0625419682012,4035.680745432064,,20.0,882b012169fffff,411100,310000.0,2024-08-22,1.0497737556561086,False
363683.6199095023,12.804039592593538,291.41315697876786,Detached,B2S2J5,B2S,cluster-09,1248.0,2.0,2,44.993776,-63.437971,-2854.3138570684955,2024.439878738176,4024.3761645968407,,,882b013ad5fffff,329000,346440.0,2024-07-22,1.0497737556561086,False
508771.9298245614,13.1397551201162,356.78255948426465,Detached,B4C3Z1,B4C,cluster-06,1426.0,3.0,2,44.787409,-63.689286,-2852.478100999974,2005.9120049332807,4056.325151189797,,38.0,882b012d2dfffff,503000,500000.0,2025-10-20,1.0175438596491229,False
501443.0654205607,13.125245351366113,224.96324155251713,Detached,B2T1B3,B2T,cluster-09,2229.0,3.0,2,44.894082,-63.588989,-2854.7692864630976,2015.4785986227237,4043.559522042121,,53.0,882b012ae9fffff,400400,462538.0,2024-12-04,1.0841121495327102,False
636025.7589696412,13.362994343026688,266.119564422444,Detached,B4G1B2,B4G,cluster-06,2390.0,3.0,3,44.828019,-63.682711,-2854.769778679509,2009.5512874643607,4055.487680309521,,47.0,882b0128abfffff,551200,596000.0,2024-06-12,1.0671573137074517,True
537075.6295619501,13.19389420074747,304.1198355390431,Duplex,B3T1E3,B3T,cluster-02,1766.0,3.0,3,44.649496,-63.736266,-2845.792153821936,1993.577493054016,4062.311603622756,,14.0,882b0e9465fffff,473500,451000.0,2023-11-09,1.1908550544610867,False
294603.1746031746,12.593384558930795,210.4308390022676,Detached,,,cluster-03,1400.0,2.0,3,44.794792,-63.172314,-2829.790665788688,2006.573390323264,3990.741256114596,,3.0,882b0134dbfffff,655400,240000.0,2022-10-06,1.2275132275132274,False
650859.7285067873,13.386049427169832,356.24506212741505,Detached,B2W2C7,B2W,cluster-11,1827.0,3.0,2,44.67738,-63.50824,-2837.3817716112,1996.0682836644,4033.2965478976,,56.0,882b0c5b63fffff,577600,620000.0,2024-08-29,1.0497737556561086,False
1180350.8771929825,13.981322305794416,415.3240243465808,Detached,B2T0M7,B2T,cluster-06,2842.0,3.0,4,44.821145,-63.64116,-2852.4696603282,2008.9350391110252,4050.1972461456,,12.0,882b012899fffff,1028700,1160000.0,2025-08-07,1.0175438596491229,False
501821.4936247723,13.125999745047713,311.4968923803677,Detached,B2X2E1,B2X,cluster-11,1611.0,4.0,2,44.702428,-63.549485,-2840.8162776495797,1998.307069095184,4038.537043765225,,78.0,882b012cc3fffff,494700,475000.0,2024-10-21,1.0564663023679417,False
427788.3597883598,12.966383865789384,388.8985088985089,Duplex,B3R0A2,B3R,cluster-04,1100.0,3.0,2,44.617338,-63.617183,-2838.4293565188536,1990.7068502062436,4047.1459728554887,,18.0,882b0e96c1fffff,418300,348500.0,2022-10-12,1.2275132275132274,False
617943.9252336448,13.334152996455192,480.5162715658202,Detached,B4B1N5,B4B,cluster-07,1286.0,3.0,2,44.741609,-63.799092,-2854.474028819028,2001.8115759088807,4070.324140024464,,31.0,882b0e9017fffff,496000,570000.0,2025-02-20,1.0841121495327102,False
613142.8571428572,13.326353233677413,343.1129586697578,Detached,B4E3A5,B4E,cluster-06,1787.0,3.0,2,44.809185,-63.684534,-2853.65206564479,2007.863060364225,4055.719870797156,,20.0,882b0128b3fffff,525200,555000.0,2022-05-31,1.1047619047619048,False
387898.0891719745,12.868497927331818,521.3683994246969,Detached,B3A2B8,B3A,cluster-11,744.0,2.0,1,44.679357,-63.576564,-2840.559999789348,1996.2449419334496,4041.979490046096,,75.0,882b012c83fffff,341200,315000.0,2022-02-22,1.2314225053078556,False
740409.2213114755,13.514958314103485,252.52701954688797,Detached,B4B1L7,B4B,cluster-02,2932.0,5.0,4,44.703006,-63.712562,-2848.143041361372,1998.358745436036,4059.290556603844,,4.0,882b0e9745fffff,931700,622965.0,2022-08-18,1.1885245901639343,False
507103.825136612,13.136471044915009,296.5519445243345,Duplex,B3G1E6,B3G,cluster-01,1710.0,4.0,3,44.609376,-63.480045,-2831.80519590192,1989.996427109376,4029.7161132020246,,39.0,882b0c580bfffff,421500,480000.0,2024-10-29,1.0564663023679417,False
518250.95057034225,13.158214864488995,306.113969622175,Detached,B2W1X1,B2W,cluster-11,1693.0,3.0,2,44.683096,-63.524367,-2838.465389000232,1996.579068145216,4035.3452027506887,,54.0,882b0c5b67fffff,476500,470000.0,2023-06-08,1.102661596958175,False
640282.5428859738,13.36966483117454,257.03835523322914,Detached,B2Y3C9,B2Y,cluster-11,2491.0,6.0,2,44.671074,-63.549815,-2838.83848855131,1995.504852313476,4038.578986534226,,69.0,882b012c9bfffff,633700,547000.0,2023-05-03,1.170534813319879,False
610684.0510773237,13.32233500306428,486.21341646283736,Detached,B3K2T6,B3K,cluster-04,1256.0,3.0,2,44.667911,-63.614666,-2841.5342391827257,1995.2222731039208,4046.825730291556,,85.0,882b0e965dfffff,545400,595000.0,2025-07-24,1.0263597497097878,False
644444.4444444444,13.376143898180429,322.2222222222222,Detached,B2X3A2,B2X,cluster-11,2000.0,3.0,3,44.697074,-63.544019,-2840.231719500406,1997.828424161476,4037.8423506723607,,42.0,882b012cddfffff,578900,610000.0,2024-10-23,1.0564663023679417,False
599333.3333333334,13.303573205345591,277.46913580246917,Detached,B2Y3K6,B2Y,cluster-11,2160.0,4.0,1,44.67597,-63.53955,-2838.6910296134997,1995.9422954409,4037.2744142025,,69.0,882b0c5b25fffff,514400,589000.0,2025-10-24,1.0175438596491229,False
526254.8262548263,13.173540834967223,255.21572563279645,Detached,B4E3C7,B4E,cluster-06,2062.0,3.0,1,44.806898,-63.753434,-2856.5936143877316,2007.6581083824035,4064.500346792356,,53.0,882b0e9229fffff,497100,470000.0,2024-03-21,1.1196911196911197,True
788596.4912280702,13.578010051047354,329.956690890406,Detached,B4G1A5,B4G,cluster-06,2390.0,3.0,3,44.81664,-63.691112,-2854.4216377036796,2008.5312208896,4056.557747796543,,40.0,882b0128b5fffff,716500,775000.0,2025-10-30,1.0175438596491229,True
440417.1999999999,12.995477738472198,371.97398648648647,Detached,B4E1G7,B4E,cluster-06,1184.0,2.0,2,44.781024,-63.692008,-2852.193338856192,2005.340110488576,4056.671883072064,,64.0,882b012d2dfffff,418400,379670.0,2023-12-19,1.16,False
526444.2185044829,13.17390065718354,349.1009406528401,Detached,B2Y3K3,B2Y,cluster-11,1508.0,3.0,1,44.67835,-63.544702,-2839.0724366017,1996.1549587225,4037.929152268804,,69.0,882b012cd3fffff,463000,491000.0,2026-03-11,1.072187817728071,False
193430.0,12.172670968896144,54.06092789267747,Detached,B2T0M5,B2T,cluster-06,3578.0,6.0,3,44.822499,-63.645661,-2852.757576526839,2009.056416605001,4050.770164126921,,4.0,882b01289dfffff,1272700,166750.0,2022-03-15,1.16,False
513426.0869565217,13.148861358275774,235.62463834626973,Detached,B2W6G2,B2W,cluster-01,2179.0,5.0,2,44.690635,-63.48393,-2837.13714399555,1997.252856703225,4030.2093682449,,31.0,882b0c5b4dfffff,515600,509000.0,2025-06-25,1.008695652173913,False
709342.205323194,13.472093348201849,493.9708950718621,Detached,B3N1Z7,B3N,cluster-04,1436.0,3.0,4,44.64517,-63.635119,-2841.00070572523,1993.1912043289,4049.428370144162,,75.0,882b0e961dfffff,676100,643300.0,2023-07-27,1.102661596958175,False
259619.04761904763,12.466970634075135,313.5495744191397,Detached,B0N2M0,B0N,cluster-12,828.0,2.0,1,45.122143,-62.92689,-2839.39612912527,2036.007788912449,3959.7934850721,,38.0,882b01a043fffff,228900,235000.0,2022-05-16,1.1047619047619048,False
396842.1052631579,12.891293760817698,301.55175171972485,Townhouse,B2W4W9,B2W,cluster-01,1316.0,3.0,1,44.677234,-63.490685,-2836.58819056529,1996.055237890756,4031.067081769225,,48.0,882b0c5b47fffff,370100,390000.0,2025-09-09,1.0175438596491229,False
652573.1584258325,13.388678532086834,268.5486248665977,Detached,B2W4L5,B2W,cluster-11,2430.0,6.0,3,44.676642,-63.501623,-2837.039277189966,1996.002340396164,4032.456123634129,,51.0,882b0c5b0dfffff,532300,557500.0,2023-05-17,1.170534813319879,False
