municipal_unit,aan,address_num,address_add,address_direction,address_street,address_suffix,address_city,tax_year,assessed_value,taxable_assessed_value,y_coord,x_coord,location
HALIFAX REGIONAL MUNICIPALITY (HRM),7675585,93.0,,,STRATFORD,DR,COLE HARBOUR,2025,574700,371100,44.652863,-63.474113,"
,  
(44.652863, -63.474113)"
HALIFAX REGIONAL MUNICIPALITY (HRM),5491045,26.0,,,BELLWOOD,DR,HARRIETSFIELD,2025,122500,54600,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),5099773,99.0,,,ALDER,CRES,LOWER SACKVILLE,2025,150000,150000,44.77778,-63.687073,"
,  
(44.77778, -63.687073)"
HALIFAX REGIONAL MUNICIPALITY (HRM),3928276,6273.0,,,EDINBURGH,ST,HALIFAX,2025,781900,405000,44.65432,-63.604493,"
,  
(44.65432, -63.604493)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8960925,62.0,,,ABRAMS,WAY,HALIFAX,2025,408000,212200,44.611771,-63.611522,"
,  
(44.611771, -63.611522)"
HALIFAX REGIONAL MUNICIPALITY (HRM),9596542,77.0,,,BURDEN,BLVD,BEAVER BANK,2025,637500,375200,44.809608,-63.673961,"
,  
(44.809608, -63.673961)"
HALIFAX REGIONAL MUNICIPALITY (HRM),1777211,2621.0,,,ST MARGARETS BAY,RD,TIMBERLEA,2025,300000,82200,44.66479,-63.748181,"
,  
(44.66479, -63.748181)"
HALIFAX REGIONAL MUNICIPALITY (HRM),3810879,972.0,,,MUSHABOOM,RD,MUSHABOOM,2025,506800,506800,44.847938,-62.529168,"
,  
(44.847938, -62.529168)"
HALIFAX REGIONAL MUNICIPALITY (HRM),928437,215.0,,,TUCKER LAKE,RD,BEAVER BANK,2025,362000,183300,44.839907,-63.691356,"
,  
(44.839907, -63.691356)"
HALIFAX REGIONAL MUNICIPALITY (HRM),6236898,137.0,,,BRIARWOOD,DR,EASTERN PASSAGE,2025,329400,171200,44.615274,-63.479993,"
,  
(44.615274, -63.479993)"
HALIFAX REGIONAL MUNICIPALITY (HRM),5635144,41.0,,,MOIRS MILL,RD,BEDFORD,2025,299700,299700,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),9660011,204.0,,,LAUREL RIDGE,DR,BEAVER BANK,2025,589300,385300,44.834366,-63.674116,"
,  
(44.834366, -63.674116)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10091292,57.0,,,DANNY,DR,BEAVER BANK,2025,477400,410400,44.826423,-63.68186,"
,  
(44.826423, -63.68186)"
HALIFAX REGIONAL MUNICIPALITY (HRM),189952,2100.0,,,WEST JEDDORE,RD,WEST JEDDORE,2025,510800,218700,44.708816,-63.023198,"
,  
(44.708816, -63.023198)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8603421,14.0,,,ARBOR,WAY,HAMMONDS PLAINS,2025,958100,708800,44.71156,-63.722217,"
,  
(44.71156, -63.722217)"
