PID,CIV_POSTAL,FULL_CIVIC,STR_NAME,STR_TYPE,GSA_NAME,longitude,latitude
41185828.0,,28,ALDERBERRY,LANE,UPPER TANTALLON,-63.87281159508892,44.69680277792871
301713.0,B3N 1T9,4,SHADY,LANE,HALIFAX,-63.62897061354502,44.636087748313294
569087.0,B2T 1A2,389,KINGS,RD,WELLINGTON,-63.626335049027894,44.88406351071288
40204422.0,B2W 4N9,79,CLERMONT,CRES,COLE HARBOUR,-63.48886468969596,44.67642273003997
40493843.0,B2Z 1R7,72,DAVID,DR,LAWRENCETOWN,-63.390074482144406,44.672619980783985
41186503.0,B4A 1Y2,290,RUTLEDGE,ST,BEDFORD,-63.67127924131936,44.73191308769813
41389230.0,B4B 2H5,96,CANDACE,LANE,LUCASVILLE,-63.70707291924229,44.76943006021784
40079097.0,B3V 1H6,83,ST PAULS,AVE,HERRING COVE,-63.56267387209024,44.56912591640007
41198433.0,B2W 5P6,75,TAMARA,DR,COLE HARBOUR,-63.480699075628536,44.682592463249264
40025439.0,B3T 1B1,13,FIRST,ST,LAKESIDE,-63.70356874582916,44.63430028440108
197343.0,B2W 3Z7,68,STUART HARRIS,DR,DARTMOUTH,-63.50814265696572,44.68206905841409
41395724.0,B3J 2H4,1260,QUEEN,ST,HALIFAX,-63.57462303652246,44.64026040284931
62281.0,B3A 3X2,39,LIMARDO,DR,DARTMOUTH,-63.57450405466309,44.68439964879204
41362658.0,B3M 4R2,2,CHELMSFORD,PL,HALIFAX,-63.65928821898815,44.67827070965186
40283889.0,B3T 1J6,15,GREENDALE,CRT,TIMBERLEA,-63.74841594881602,44.65988661343867
