municipal_unit,aan,address_num,address_additional,address_direction,address_street,address_suffix,address_city,living_units,year_built,square_foot_living_area,style,bedrooms,bathrooms,under_construction,grade,finished_basement,garage,y_coord,x_coord,location
HALIFAX REGIONAL MUNICIPALITY (HRM),9381058,79.0,,,STARBOARD,DR,HALIFAX,1,2002.0,2084.0,1 Storey,3.0,2,N,Average,Y,Y,44.69691,-63.6686,"(44.69691, -63.6686)"
HALIFAX REGIONAL MUNICIPALITY (HRM),4947231,23.0,,,BRIDGET,AVE,HALIFAX,1,1978.0,840.0,Manufactured Home,2.0,1,N,Manufactured Home,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),9781315,108.0,,,ATIKIAN,DR,EASTERN PASSAGE,1,2008.0,1400.0,2 Storey,3.0,3,N,Average,N,N,44.61654,-63.4618,"(44.61654, -63.4618)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8567875,19.0,,,THE OTHER,ST,PORTERS LAKE,1,1991.0,896.0,Manufactured Home,2.0,1,N,Manufactured Home,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),923907,106.0,,,NAPPAN,DR,LOWER SACKVILLE,1,1973.0,1560.0,1 Storey,4.0,2,N,Average,Y,N,44.78255,-63.67381,"(44.78255, -63.67381)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10535001,15.0,,,KINGS WHARF,PL,DARTMOUTH,1,2012.0,,,2.0,2,N,,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),3332179,177.0,,,MURCHYVILLE,RD,SOUTH SECTION,1,2010.0,1074.0,1 Storey,3.0,1,N,Average,N,N,45.01744,-63.15485,"(45.01744, -63.15485)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8583889,23.0,,,GRANDVIEW,CRT,HAMMONDS PLAINS,1,1993.0,3114.0,2 Storey,3.0,4,N,Average,Y,Y,44.70878,-63.74268,"(44.70878, -63.74268)"
HALIFAX REGIONAL MUNICIPALITY (HRM),5599393,87.0,,,BIRCHILL,DR,EASTERN PASSAGE,1,1983.0,896.0,Manufactured Home,2.0,1,N,Manufactured Home,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),8884587,496.0,,,GLEN RISE,DR,BEAVER BANK,1,1996.0,896.0,Manufactured Home,2.0,1,N,Manufactured Home,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),5511518,51.0,,,CRANBERRY,CRES,DARTMOUTH,1,1983.0,1653.0,1 Storey,,2,N,Average,Y,N,44.68352,-63.50217,"(44.68352, -63.50217)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10529476,220.0,,,WATERFRONT,DR,BEDFORD,1,2012.0,,,2.0,2,N,,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),4447689,1.0,,,LANARKSHIRE,CRT,COLE HARBOUR,1,1979.0,1800.0,Split Entry,,2,N,Average,Y,Y,44.6811,-63.4872,"(44.6811, -63.4872)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10605326,3471.0,,,DUTCH VILLAGE,RD,HALIFAX,1,2014.0,,,2.0,2,N,,N,N,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),5604869,39.0,,,HAZEL,ST,MIDDLE SACKVILLE,1,1983.0,896.0,Manufactured Home,2.0,1,N,Manufactured Home,N,N,,,
