OBJECTID,PERMIT_NUMBER,DATE_OF_SUBMISSION,DATE_OF_PERMIT_ISSUANCE,COMPLETED_DATE,EXPIRATION_DATE,PERMIT_NAME,WORK_TYPE,PRIMARY_WORK_SCOPE,PERMIT_STATUS,CIVIC_ID,CIVIC_NUMBER,STREET_NAME,COMMUNITY,ESTIMATED_PROJECT_VALUE,MOST_RECENT_INSPECTION,DATE_INSPECTION_COMPLETED,TYPE_OF_STRUCTURE,EXISTING_RESIDENTIAL_UNITS,TOTAL_END_RESIDENTIAL_UNITS,BUILDING_FOOTPRINT_AREA,NUMBER_OF_STOREYS,WORK_DESCRIPTION,ACTIVE_PARCEL,PID,DISTRICT,INSPECTION_OUTCOME,OVERALL_BUILDING_HEIGHT,NET_NEW_UNITS,GLOBALID,longitude,latitude
12277569,BPRES-2025-01721,1748952000000.0,1756382400000.0,,1819454400000.0,Residential Building Permit,New Building,New Building,Issued,30219.0,19,EAST DOVER RD,EAST DOVER,1470000.0,,,Dwelling - Single Detached,,1.0,294.0,2.0,Building a new house on an empty lot,Y,40847501,District 13,,8.91,1,026e2a84-dc4c-4cab-984a-7798f9a57d6d,-63.864301012212955,44.511298966197096
12277570,BPRES-2024-15533,1735992000000.0,,1749470400000.0,,Residential Building Permit,Renovation,Renovation,Withdrawn,97003.0,18,HARDMAN LANE,WINDSOR JUNCTION,5000.0,,,Dwelling - Backyard Suite,,1.0,60.0,1.0,Legalize Backyard Suite,Y,511287,District 01,,3.6,1,5b957248-c73b-44c1-9c55-0407914dca23,-63.64071633364187,44.80327620384073
12277571,BP-2021-07062,1619092800000.0,1621598400000.0,1729080000000.0,1752840000000.0,Residential Building Permit,New Building,New Building,Completed,173451.0,16,HARDMAN LANE,WINDSOR JUNCTION,24000.0,Building - Plumbing - Prior to Occupancy,1659441600000.0,Dwelling - Single Detached,,1.0,23.7,2.0,Construct backyard suite accessory to existing single unit dwelling.,Y,511287,District 01,,6.7,1,d3cac164-2234-4da7-9e6f-151a8a50465b,-63.64109366872637,44.803377878004056
12277572,BPRES-2025-11564,1753876800000.0,1769169600000.0,1773403200000.0,1832241600000.0,Residential Building Permit,Renovation,Renovation,Completed,173451.0,16,HARDMAN LANE,WINDSOR JUNCTION,,Building - Part 9 - Accessory Final,1770897600000.0,Accessory Structure,,,23.78,2.0,Converting 16 Hardman Lane (backyard suite) to accessory structure.,Y,511287,District 01,,6.7,0,fef2a418-2eae-4259-861b-aa86297d7832,-63.64109366872637,44.803377878004056
12277573,BPRES-2026-01682,1771156800000.0,,,,Residential Building Permit,Renovation,Renovation,Applicant Revisions,173451.0,16,HARDMAN LANE,WINDSOR JUNCTION,1.0,,,Dwelling - Backyard Suite,,1.0,46.0,1.0,Legalize Backyard Suite,Y,511287,District 01,,3.6,1,b0347356-82a7-430d-9ce6-8ca87d8210cb,-63.64109366872637,44.803377878004056
12277574,BP-2021-07008,1621598400000.0,1627041600000.0,1630670400000.0,1690113600000.0,Residential Building Permit,Renovation,Renovation,Completed,68069.0,6349,LIVERPOOL ST,HALIFAX,15000.0,Building - Plumbing - Prior to Occupancy,1630670400000.0,Dwelling - Multiple Units,1.0,2.0,28.0,1.0,"Renovation of current dwelling to include Secondary Suite, without changing the existing footprint of the dwelling.",Y,119644,District 09,,4.25,1,9fb162f2-74a5-49e7-8f72-7ddc1d1c2509,-63.60739933214103,44.65411639665464
12277575,BPRES-2022-01553,1644321600000.0,1646222400000.0,1673265600000.0,1709380800000.0,Residential Building Permit,New Building,New Building,Completed,173898.0,222,TALUS AVE,BEDFORD,800000.0,Building - Plumbing - Prior to Occupancy,1671105600000.0,Dwelling - Single Detached,,1.0,156.0,3.0,To construct a new single detached home with attached garage Parks of West Bedford,Y,41504663,District 16,,7.37,1,e781aab7-a299-45e9-9d25-e9fa20e47a80,-63.71852213623716,44.70335434580541
12277576,BP-2021-01292,1611662400000.0,1640779200000.0,1699012800000.0,1703851200000.0,Residential Building Permit,Renovation,Renovation,Completed,174403.0,22 B,CUISACK ST,DARTMOUTH,10000.0,Building - Part 9 - Final,1699012800000.0,Dwelling - Single Detached,1.0,2.0,52.02,1.0,"Backyard garden suite studio, was an existing garage that has been fully renovated into a detached rental unit. I was informed a renovation permit must be on file before an application for occupancy can be made. Important to note that the work was completed prior to my ownership in July of 2020.",Y,245399,District 05,,4.52,1,e89145bb-348f-4b5a-8a33-97b5c52c9cb2,-63.55286359221262,44.65817694149485
12277577,BPRES-2021-11648,1624276800000.0,1640174400000.0,,1765022400000.0,Residential Building Permit,New Building,New Building,Expired,174260.0,20,HILLCREST ST,HALIFAX,350000.0,,,Dwelling - Semi-Detached,,3.0,179.86,1.0,Construct Semi-Detached with one secondary suite - Property in the process of being subdivided,Y,253682,District 10,,7.8,3,de03ca63-d74a-4c73-9cdf-17f85c8dd8d8,-63.64113278515133,44.65244287321691
12277578,BP-2021-09676,1621944000000.0,1623326400000.0,,1686398400000.0,Residential Building Permit,New Building,New Building,Expired,168649.0,2443,NATURA DR,LUCASVILLE,20000.0,Building - Part 9 - Accessory Final,1623758400000.0,Accessory Structure,,,55.68,1.0,New Garage construction,Y,41423823,District 14,,4.14,0,de6fc035-50b6-4140-8161-dd910feea754,-63.7491892124753,44.7584136125535
12277579,BPCOM-2021-15327,1631707200000.0,1649073600000.0,1742385600000.0,1769083200000.0,Mixed Use & Commercial Building Permit,New Building,New Building,Completed,14649.0,3840,JOSEPH HOWE DR,HALIFAX,22000000.0,Building - Commercial - Final,1742212800000.0,Dwelling - Multiple Units,,110.0,2316.0,7.0,"Scope of work is limited to: Construct a new seven storey, 110 unit multi-residential building with an underground parking garage and some amenity space on Joseph Howe Drive.",Y,40311540,District 10,,19.5,110,d0952f88-8a65-4934-b25e-825e115f92c6,-63.628134834508145,44.66111332967343
12277580,BPCOM-2024-07894,1718539200000.0,1719576000000.0,,1782648000000.0,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,108344.0,263,WAVERLEY RD,DARTMOUTH,27000.0,,,Institutional and Governmental,,,969.0,1.0,Renovation,Y,40800518,District 06,,9.0,0,e967ec9d-020c-49a9-b0a5-5994043bb08f,-63.548169240047656,44.69966900631396
12277581,BPRES-2024-11683,1726056000000.0,1758024000000.0,,1821096000000.0,Residential Building Permit,New Building,New Building,Issued,80695.0,90,MARGARET RD,HALIFAX,120000.0,,,Dwelling - Backyard Suite,,1.0,89.65,1.0,Construct Backyard Suite,Y,270363,District 11,,4.57,1,3739fd63-eee5-498d-a66f-ffc7358f0341,-63.62157944463102,44.63296653569629
12277582,BP-2021-07161,1622808000000.0,1639396800000.0,1702382400000.0,1702468800000.0,Residential Building Permit,Renovation,Renovation,Completed,19429.0,115,ROSEDALE AVE,HALIFAX,20000.0,Building - Part 9 - Prior to Drywall,1702382400000.0,Dwelling - Multiple Units,1.0,3.0,282.0,2.0,Change the master bedroom to a secondary suite and get a permit for a second unit in the basement,Y,253864,District 10,,16.0,2,4c7fb62d-2d03-42ca-9fcb-f8690503fe6a,-63.642787279726974,44.65108139713849
12277583,BPRES-2021-18473,1636113600000.0,1639569600000.0,1653393600000.0,1702641600000.0,Residential Building Permit,Renovation,Renovation,Completed,95925.0,69,KARELS DR,FALL RIVER,30000.0,Building - Part 9 - Final,1653393600000.0,Dwelling - Multiple Units,1.0,2.0,60.0,2.0,Create one bedroom basement secondary suite,Y,482893,District 01,,8.0,1,6859138a-b125-4c69-944a-09052dbc1074,-63.62064385792214,44.81789399785568
