municipal_unit,aan,address_num,address_additional,address_direction,address_street,address_suffix,address_city,sale_price,sale_date,parcels_in_sale,y_coord,x_coord,location
HALIFAX REGIONAL MUNICIPALITY (HRM),10605628,3471.0,,,DUTCH VILLAGE,RD,HALIFAX,302500,2016-02-08T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10643090,67.0,,,KINGS WHARF,PL,DARTMOUTH,360374,2015-06-30T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10605628,3471.0,,,DUTCH VILLAGE,RD,HALIFAX,288152,2015-04-15T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10643104,67.0,,,KINGS WHARF,PL,DARTMOUTH,434900,2015-10-09T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10650925,10.0,,,COPPERMOON,CRT,HALIFAX,452781,2015-08-21T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10642736,67.0,,,KINGS WHARF,PL,DARTMOUTH,782522,2016-08-18T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10456711,1445.0,,,SOUTH PARK,ST,HALIFAX,1950000,2015-03-06T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10642701,67.0,,,KINGS WHARF,PL,DARTMOUTH,375782,2015-07-24T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10642973,67.0,,,KINGS WHARF,PL,DARTMOUTH,423553,2015-06-23T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10623308,267.0,,,GARY MARTIN,DR,BEDFORD,264929,2015-02-02T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10456509,1445.0,,,SOUTH PARK,ST,HALIFAX,645000,2015-06-01T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10492750,89.0,,,PEBBLECREEK,CRES,DARTMOUTH,314900,2015-06-24T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10605156,3471.0,,,DUTCH VILLAGE,RD,HALIFAX,274192,2015-02-05T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10323215,37.0,,,BURNABY,LANE,DARTMOUTH,352000,2016-06-23T00:00:00.000,1,,,
HALIFAX REGIONAL MUNICIPALITY (HRM),10456150,1445.0,,,SOUTH PARK,ST,HALIFAX,573000,2015-12-15T00:00:00.000,1,,,
