join,aan,sale_date,sale_price
sales_to_dwellings,6423043,2022-01-14 00:00:00,1460000
sales_to_dwellings,1415441,2022-01-14 00:00:00,195000
sales_to_dwellings,8990220,2022-01-12 00:00:00,1090000
sales_to_dwellings,2567296,2022-01-13 00:00:00,347826
sales_to_dwellings,691984,2022-01-12 00:00:00,410000
sales_to_dwellings,1676792,2022-01-18 00:00:00,857000
sales_to_dwellings,3571483,2022-01-14 00:00:00,2450000
sales_to_dwellings,4179021,2022-01-21 00:00:00,215000
sales_to_dwellings,7526768,2022-01-21 00:00:00,2900000
sales_to_dwellings,3527247,2022-01-12 00:00:00,160000
sales_to_dwellings,10722421,2022-01-12 00:00:00,665000
sales_to_dwellings,10784638,2022-01-19 00:00:00,875789
sales_to_dwellings,4991621,2022-01-07 00:00:00,1456000
sales_to_dwellings,1869531,2022-01-04 00:00:00,380000
sales_to_dwellings,9191682,2022-01-10 00:00:00,300000
sales_to_dwellings,10028621,2022-01-12 00:00:00,135700
sales_to_dwellings,10492262,2022-01-14 00:00:00,289905
sales_to_dwellings,10850533,2022-01-14 00:00:00,370000
sales_to_dwellings,2606437,2022-01-17 00:00:00,1100000
sales_to_dwellings,2172208,2022-01-12 00:00:00,300000
