municipal_unit,aan,address_num,address_additional,address_direction,address_street,address_suffix,address_city,sale_price,sale_date,parcels_in_sale,y_coord,x_coord,location
HALIFAX REGIONAL MUNICIPALITY (HRM),6423043,94.0,,,TRIDER,CRES,DARTMOUTH,1460000,2022-01-14,1,44.70946,-63.590796,"
,  
(44.70946, -63.590796)"
HALIFAX REGIONAL MUNICIPALITY (HRM),1415441,1103.0,,,KETCH HARBOUR,RD,KETCH HARBOUR,195000,2022-01-14,1,44.493343,-63.549298,"
,  
(44.493343, -63.549298)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8990220,33.0,,,TROOP,AVE,DARTMOUTH,1090000,2022-01-12,1,44.711279,-63.586634,"
,  
(44.711279, -63.586634)"
HALIFAX REGIONAL MUNICIPALITY (HRM),2567296,2604.0,,,PROSPECT,RD,WHITES LAKE,347826,2022-01-13,1,44.547813,-63.735531,"
,  
(44.547813, -63.735531)"
HALIFAX REGIONAL MUNICIPALITY (HRM),691984,,,,WRIGHTS LAKE,,UPPER HAMMONDS PLAINS,410000,2022-01-12,1,44.749772,-63.864715,"
,  
(44.749772, -63.864715)"
HALIFAX REGIONAL MUNICIPALITY (HRM),1676792,95.0,,,EVANS,AVE,HALIFAX,857000,2022-01-18,1,44.659825,-63.636734,"
,  
(44.659825, -63.636734)"
HALIFAX REGIONAL MUNICIPALITY (HRM),3571483,601.0,,,SACKVILLE,DR,LOWER SACKVILLE,2450000,2022-01-14,1,44.76895,-63.685661,"
,  
(44.76895, -63.685661)"
HALIFAX REGIONAL MUNICIPALITY (HRM),4179021,,,,OSTREA LAKE,RD,OSTREA LAKE,215000,2022-01-21,1,44.737513,-63.10732,"
,  
(44.737513, -63.10732)"
HALIFAX REGIONAL MUNICIPALITY (HRM),7526768,61.0,,,STERNS,CRT,DARTMOUTH,2900000,2022-01-21,1,44.715779,-63.601062,"
,  
(44.715779, -63.601062)"
HALIFAX REGIONAL MUNICIPALITY (HRM),3527247,,,,NO 357,HWY,ELDERBANK,160000,2022-01-12,1,44.961468,-63.246489,"
,  
(44.961468, -63.246489)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10722421,,,,INNOVATION,DR,BEDFORD,665000,2022-01-12,1,44.71892,-63.699027,"
,  
(44.71892, -63.699027)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10784638,132.0,,,HIGNEY,AVE,DARTMOUTH,875789,2022-01-19,1,44.713096,-63.563814,"
,  
(44.713096, -63.563814)"
HALIFAX REGIONAL MUNICIPALITY (HRM),4991621,6.0,,,MITCHELL,ST,DARTMOUTH,1456000,2022-01-07,1,44.674156,-63.585868,"
,  
(44.674156, -63.585868)"
HALIFAX REGIONAL MUNICIPALITY (HRM),1869531,9.0,,,JACKSON,RD,DARTMOUTH,380000,2022-01-04,1,44.681078,-63.58509,"
,  
(44.681078, -63.58509)"
HALIFAX REGIONAL MUNICIPALITY (HRM),9191682,,,,NO 207,HWY,UPPER LAWRENCETOWN,300000,2022-01-10,1,44.676961,-63.403213,"
,  
(44.676961, -63.403213)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10028621,67.0,,,ROCKFIELD,DR,UPPER TANTALLON,135700,2022-01-12,1,44.718877,-63.882279,"
,  
(44.718877, -63.882279)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10492262,360.0,,,SKY,BLVD,GOFFS,289905,2022-01-14,1,44.863988,-63.547158,"
,  
(44.863988, -63.547158)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10850533,,,,LENNOX,RD,BLACK POINT,370000,2022-01-14,1,44.647512,-63.981192,"
,  
(44.647512, -63.981192)"
HALIFAX REGIONAL MUNICIPALITY (HRM),2606437,1034.0,,,BLAND,ST,HALIFAX,1100000,2022-01-17,1,44.635736,-63.573598,"
,  
(44.635736, -63.573598)"
HALIFAX REGIONAL MUNICIPALITY (HRM),2172208,1.0,,,FISKE,ST,HALIFAX,300000,2022-01-12,1,44.658698,-63.641437,"
,  
(44.658698, -63.641437)"
HALIFAX REGIONAL MUNICIPALITY (HRM),4877195,93.0,,,SEAFARERS,LANE,WHITES LAKE,180000,2022-01-25,1,44.516315,-63.768398,"
,  
(44.516315, -63.768398)"
HALIFAX REGIONAL MUNICIPALITY (HRM),10766168,,,,MACDONALD COVE,RD,HARRIGAN COVE,124000,2022-01-14,1,44.928359,-62.282938,"
,  
(44.928359, -62.282938)"
HALIFAX REGIONAL MUNICIPALITY (HRM),8948496,0.0,,,CAMBREN,DR,HUBLEY,166750,2022-01-17,1,44.659464,-63.792702,"
,  
(44.659464, -63.792702)"
HALIFAX REGIONAL MUNICIPALITY (HRM),7651031,,,,ATHOLEA,DR,COW BAY,115000,2022-02-24,1,44.637449,-63.451909,"
,  
(44.637449, -63.451909)"
HALIFAX REGIONAL MUNICIPALITY (HRM),9606645,25.0,,,FRENCH VILLAGE STATI,RD,UPPER TANTALLON,345000,2022-02-04,1,44.691927,-63.879037,"
,  
(44.691927, -63.879037)"
HALIFAX REGIONAL MUNICIPALITY (HRM),9608710,,,,SCOTSDALE,DR,MUSQUODOBOIT HARBOUR,260000,2022-02-16,1,44.791871,-63.188073,"
,  
(44.791871, -63.188073)"
HALIFAX REGIONAL MUNICIPALITY (HRM),768758,70.0,,,SIMMONDS,DR,DARTMOUTH,7180000,2022-02-01,1,44.71907,-63.597701,"
,  
(44.71907, -63.597701)"
HALIFAX REGIONAL MUNICIPALITY (HRM),108057,6.0,,,CATHERINE,ST,DARTMOUTH,660000,2022-01-20,1,44.678627,-63.586422,"
,  
(44.678627, -63.586422)"
