aan,prevSaleDate,nextSaleDate,prevSalePrice,nextSalePrice,rawRatio,adjustedRatio,pairId
9195173,2021-01-05,2025-11-17,729900.0,910176.0,1.2469872585285655,0.760395016147026,14686
3988392,2022-03-23,2024-09-27,455000.0,393100.0,0.863956043956044,0.7868452130747212,8130
3105911,2018-12-07,2024-07-31,445000.0,707000.0,1.5887640449438203,0.7915064314403376,6920
3349578,2020-12-15,2023-04-03,250000.0,294500.0,1.178,0.826427200821777,7225
671819,2021-02-25,2023-09-15,229000.0,270000.0,1.1790393013100438,0.8469594432642804,11692
10449723,2018-06-08,2024-09-09,469900.0,800000.0,1.7024898914662694,0.8737277357388369,1424
107271,2020-03-30,2023-07-10,1900000.0,2850000.0,1.5,0.8828897338403041,3092
4094433,2021-10-18,2024-11-26,675000.0,830000.0,1.2296296296296296,0.9556271604938271,8292
4037936,2019-08-27,2023-08-15,317000.0,536500.0,1.6924290220820188,0.9858809837370983,8192
914711,2019-08-23,2024-04-30,286000.0,509900.0,1.7828671328671328,1.009170075207811,14657
