aan,prevSaleDate,nextSaleDate,prevSalePrice,nextSalePrice,rawRatio,adjustedRatio,pairId
1564676,2024-08-28,2025-04-17,560000.0,1500000.0,2.6785714285714284,2.573757763975155,4802
3211584,2023-07-28,2025-02-03,185000.0,477000.0,2.5783783783783782,2.5350037888355645,7031
1390163,2021-02-09,2024-08-02,285000.0,1100000.0,3.8596491228070176,2.514884496308645,4526
952125,2024-08-28,2025-10-16,355000.0,887500.0,2.5,2.4232456140350878,15555
4038827,2016-10-04,2025-11-14,670000.0,3200000.0,4.776119402985074,2.3808528784648186,8202
667838,2024-01-03,2024-08-28,340000.0,670000.0,1.9705882352941178,1.8008144796380092,11685
2553686,2020-05-29,2023-11-03,151495.0,401000.0,2.646952044621935,1.7449655475512516,6381
210544,2021-11-05,2024-11-15,925000.0,1875000.0,2.027027027027027,1.6206985674198788,5588
1676199,2021-07-12,2023-07-28,835000.0,1625000.0,1.9461077844311376,1.5724254912228772,4969
1570641,2025-05-21,2026-02-24,495000.0,730000.0,1.4747474747474747,1.5675751880576725,4816
