aan,prevSaleDate,nextSaleDate,prevSalePrice,nextSalePrice,rawRatio,adjustedRatio,pairId
1155547,2022-05-11,2025-10-20,300000.0,642414.0,2.14138,1.972323684210526,4112
3135888,2020-12-07,2021-11-12,250000.0,435000.0,1.74,1.3536284314842237,6953
4634837,2024-09-03,2026-02-27,400000.0,470000.0,1.175,1.1924854422774749,8946
6057527,2020-07-27,2025-08-15,194000.0,410200.0,2.1144329896907217,1.224145415084102,10828
381942,2016-02-10,2025-12-17,151500.0,381500.0,2.5181518151815183,1.1241749174917492,7877
1885413,2020-08-17,2025-10-06,170000.0,425000.0,2.5,1.469298245614035,5285
2200473,2024-01-23,2025-05-01,319000.0,665000.0,2.084639498432602,1.8304947526236883,5767
1991191,2021-02-24,2022-05-25,2250000.0,2595000.0,1.1533333333333333,0.7908571428571428,5431
3130002,2022-03-01,2023-11-27,277000.0,490000.0,1.7689530685920578,1.8160057783080186,6947
1782347,2015-04-22,2025-06-10,270000.0,610000.0,2.259259259259259,1.0019323671497584,5172
