aan,prevSaleDate,nextSaleDate,prevSalePrice,nextSalePrice,rawRatio,adjustedRatio,pairId
1004727,2021-04-15,2022-04-07,120000.0,527000.0,4.391666666666667,3.2791111111111113,120
4757734,2021-04-15,2022-01-05,200000.0,628000.0,3.14,2.735896865970216,9051
4176901,2022-09-09,2023-04-21,235000.0,640000.0,2.723404255319149,2.6926313258805146,8421
2231344,2022-06-23,2024-12-17,625000.0,1700000.0,2.72,2.669158878504673,5852
4943066,2019-12-20,2021-04-30,267500.0,910000.0,3.4018691588785046,2.60260347129506,9315
56081,2023-09-07,2025-05-01,265000.0,750000.0,2.830188679245283,2.4666964725184575,10038
3414345,2019-11-15,2021-12-08,145000.0,512000.0,3.5310344827586206,2.351904155932835,7315
4517911,2015-02-01,2024-11-14,185000.0,921600.0,4.981621621621621,2.332015950376606,8795
4028198,2020-10-15,2021-06-16,145000.0,425000.0,2.9310344827586206,2.310344827586207,8173
2273519,2021-06-25,2022-08-29,245000.0,600000.0,2.4489795918367347,2.132820341251255,5977
