price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
1598000.0,14.284263405308357,1671.5481171548115,Condo,V6E1N5,V6E,cluster-01,956.0,2.0,2.0,49.2834893,-123.135771,-6068.56045252575,2428.8623175832145,15162.418099764442,4247.0
1598000.0,14.284263405308357,1671.5481171548115,Condo,V6E1N5,V6E,cluster-01,956.0,2.0,2.0,49.2834893,-123.135771,-6068.56045252575,2428.8623175832145,15162.418099764442,4247.0
599000.0,13.303016877097589,1056.437389770723,Condo,V6B6H4,V6B,cluster-05,567.0,1.0,1.0,49.2840532,-123.1132837,-6067.521623497493,2428.91789982043,15156.880623396684,
599000.0,13.303016877097589,1056.437389770723,Condo,V6B6H4,V6B,cluster-05,567.0,1.0,1.0,49.2840532,-123.1132837,-6067.521623497493,2428.91789982043,15156.880623396684,
1990000.0,14.503645196700676,2211.1111111111113,Condo,V6G0E3,V6G,cluster-01,900.0,2.0,2.0,49.2897441,-123.1313823,-6069.1143242462695,2429.4788734434846,15161.337307108754,6886.0
2355005.0,14.672053408572651,1564.7873754152824,Townhouse,V6P4B1,V6P,cluster-00,1505.0,3.0,3.0,49.2108252,-123.1298608,-6059.322056729133,2421.7053168649554,15160.962620627375,
2355005.0,14.672053408572651,1564.7873754152824,Townhouse,V6P4B1,V6P,cluster-00,1505.0,3.0,3.0,49.2108252,-123.1298608,-6059.322056729133,2421.7053168649554,15160.962620627375,
1799000.0,14.40274151293267,746.4730290456431,Detached,V5K3X7,V5K,cluster-02,2410.0,6.0,3.0,49.2788396,-123.0488813,-6063.706084542139,2428.404032322528,15141.02718918149,7776.0
1799000.0,14.40274151293267,746.4730290456431,Detached,V5K3X7,V5K,cluster-02,2410.0,6.0,3.0,49.2788396,-123.0488813,-6063.706084542139,2428.404032322528,15141.02718918149,7776.0
1990000.0,14.503645196700676,2211.1111111111113,Condo,V6G0E3,V6G,cluster-01,900.0,2.0,2.0,49.2897441,-123.1313823,-6069.1143242462695,2429.4788734434846,15161.337307108754,
1890000.0,14.452087387035824,843.75,Detached,V5X2V2,V5X,cluster-10,2240.0,5.0,4.0,49.2113396,-123.0877676,-6057.313931969477,2421.755945226528,15150.598532751612,
1890000.0,14.452087387035824,843.75,Detached,V5X2V2,V5X,cluster-10,2240.0,5.0,4.0,49.2113396,-123.0877676,-6057.313931969477,2421.755945226528,15150.598532751612,
668000.0,13.412043452518782,1095.0819672131147,Condo,V6Z1W1,V6Z,cluster-01,610.0,1.0,1.0,49.2792683,-123.1274721,-6067.631732716664,2428.4462841833847,15160.37438573628,
668000.0,13.412043452518782,1095.0819672131147,Condo,V6Z1W1,V6Z,cluster-01,610.0,1.0,1.0,49.2792683,-123.1274721,-6067.631732716664,2428.4462841833847,15160.37438573628,
5300000.0,15.483217378522353,1362.117707530198,Detached,V6N2N6,V6N,cluster-03,3891.0,5.0,7.0,49.2407411,-123.1857932,-6065.759750159341,2424.6505840772293,15174.739646313168,19757.0
5300000.0,15.483217378522353,1362.117707530198,Detached,V6N2N6,V6N,cluster-03,3891.0,5.0,7.0,49.2407411,-123.1857932,-6065.759750159341,2424.6505840772293,15174.739646313168,
2388000.0,14.685966753494627,1743.065693430657,Duplex,V6R2Z9,V6R,cluster-03,1370.0,3.0,3.0,49.2587066,-123.1884842,-6068.1053997065355,2426.4201759048833,15175.40263949365,12304.0
2388000.0,14.685966753494627,1743.065693430657,Duplex,V6R2Z9,V6R,cluster-03,1370.0,3.0,3.0,49.2587066,-123.1884842,-6068.1053997065355,2426.4201759048833,15175.40263949365,12304.0
