price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
19800000.0,16.801192495664765,2356.8622783002024,Detached,V6H2W3,V6H,cluster-11,8401.0,6.0,7.0,49.2543238,-123.1303754,-6064.703379567155,2425.9884129952466,15161.089346144929,
18800000.0,16.749367427800177,2386.998476383951,Detached,V6T1V7,V6T,cluster-07,7876.0,6.0,8.0,49.268128,-123.2464555,-6072.122145120304,2427.348436624384,15189.68879331348,92270.0
18800000.0,16.749367427800177,1947.1776281719317,Detached,V6H2W3,V6H,cluster-11,9655.0,6.0,10.0,49.2555865,-123.1318485,-6064.931414696645,2426.112801458982,15161.452115026954,114549.0
18180000.0,16.715832646713608,2260.6316836607807,Detached,V6T1J1,V6T,cluster-07,8042.0,6.0,8.0,49.2747223,-123.2435845,-6072.793401494085,2427.9982577421174,15188.98112040864,
16880000.0,16.641640047132086,2342.167337310948,Detached,V6J3P1,V6J,cluster-06,7207.0,6.0,7.0,49.2541287,-123.1481143,-6065.553070894511,2425.969193996164,15165.458055645866,
16880000.0,16.641640047132086,2376.460650429396,Detached,V6M3J6,V6M,cluster-06,7103.0,6.0,8.0,49.2298279,-123.1429465,-6062.306063293907,2423.575955063618,15164.18527270186,
15700000.0,16.569171270318538,2271.412037037037,Detached,V6P5W8,V6P,cluster-06,6912.0,7.0,8.0,49.2260122,-123.1619759,-6062.772928229506,2423.200277114549,15168.87230759218,
15680000.0,16.567896572886536,1621.5098241985522,Detached,V6H1W7,V6H,cluster-06,9670.0,6.0,7.0,49.2536793,-123.1381324,-6065.0060828305395,2425.924924587249,15162.999650959931,63810.0
14988800.0,16.522813813505426,2375.40412044374,Detached,V6N1E6,V6N,cluster-06,6310.0,5.0,7.0,49.2288948,-123.1666786,-6063.359463664811,2423.484083229467,15170.030717355698,49676.0
14980000.0,16.52222653605335,2922.9268292682927,Detached,V6M1S1,V6M,cluster-06,5125.0,5.0,8.0,49.2367182,-123.1418526,-6063.100695092137,2424.254419106211,15163.915861760128,
14588000.0,16.49570983091071,2278.6629178381754,Detached,V6M3H4,V6M,cluster-06,6402.0,5.0,8.0,49.2318903,-123.1420417,-6062.515488292425,2423.7790225112344,15163.962434044535,51848.0
13800000.0,16.440179150127435,2458.5783003741317,Detached,V6J4H5,V6J,cluster-06,5613.0,7.0,4.0,49.2528537,-123.1441549,-6065.201045299838,2425.843597593604,15164.482886035195,
13800000.0,16.440179150127435,2316.6023166023165,Detached,V6T1E6,V6T,cluster-07,5957.0,6.0,8.0,49.2728486,-123.2508042,-6072.918215174845,2427.8136091585225,15190.760735946738,
12990000.0,16.379690388646782,1736.8632170076214,Detached,V6J2S1,V6J,cluster-06,7479.0,5.0,8.0,49.2553282,-123.141728,-6065.38622775513,2426.0873560897153,15163.885174825984,
12880000.0,16.371186278640483,2190.4761904761904,Detached,V6M3L1,V6M,cluster-06,5880.0,5.0,7.0,49.2312927,-123.1444398,-6062.559960171329,2423.720180913073,15164.553053655824,49547.0
12880000.0,16.371186278640483,2752.136752136752,Detached,V6T1B4,V6T,cluster-07,4680.0,4.0,2.0,49.2730949,-123.2200866,-6071.435020628018,2427.8378810244058,15183.1897417115,
12770000.0,16.362609228008722,2226.67829119442,Detached,V6T1R2,V6T,cluster-07,5735.0,7.0,7.0,49.2707117,-123.2413209,-6072.187591591085,2427.6030314245168,15188.423177176775,
12700000.0,16.35711255142882,2466.019417475728,Detached,V6M3N9,V6M,cluster-06,5150.0,6.0,7.0,49.2313547,-123.1483257,-6062.758903247825,2423.7262855972117,15165.51012271328,33274.0
12500000.0,16.34123920227253,1782.6583000570452,Detached,V6N1L9,V6N,cluster-03,7012.0,7.0,9.0,49.2261152,-123.1751462,-6063.433936618043,2423.2104176836715,15172.116641391374,
11998000.0,16.300250527195175,2077.935573259439,Detached,V6H2A1,V6H,cluster-06,5774.0,4.0,3.0,49.2498167,-123.1359147,-6064.421228161835,2425.5444449835986,15162.453489005677,23014.0
