streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"5502 1151 W GEORGIA STREET, Vancouver, BC V6E 0B3",Vancouver,BC,V6E 0B3,49.2868444,-123.1241525,"An exceptional residence in Vancouver’s prestigious Paradox Hotel & Tower. This stunning high-floor condo offers breathtaking ocean, mountain, and city views, complemented by sophisticated design and premium finishes. Featuring spacious living areas, floor-to-ceiling windows, world class appliances, and marble accents, this home exudes elegance. Enjoy world-class amenities, including a 24-hour concierge, fitness center, pool, and spa. Located in the heart of downtown, you're steps from high-end shopping, fine dining, and the waterfront. A rare opportunity for refined urban living in Vancouver.",1798000.0,CAD,2.0,3.0,"1,183",,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,"Forced Air, Geothermal",,,,,,,,,,,,,,,R2967153,,,,,,,,,,,,,"$6,753 (2024)",Condo,,,,,,,,"1,183 SQFT",,,,Coal Harbour,,,,Condo,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967153,,,,,,,,,,,,,,,,
"105 7638 CAMBIE STREET, Vancouver, BC V6P 3H7",Vancouver,BC,V6P 3H7,49.2156531,-123.1163426,"Brand-new Winona, move in Ready! ideally situated in the highly desirable Cambie Corridor. Designed by GBL Architects with LEED Gold certification, This bright and spacious 2 bedroom & 2 bathroom + flex unit providing a convenient living experience. Full-size WOLF gas cooktop & wall oven, SUBZERO appliance package and wide-plank engineered hardwood flooring throughout. 9' ceilings and air-conditioning , polished quartz counters with waterfall edge and bar seating in the gourmet kitchen. Bathrooms with hidden mirror storage and LED back lighting, non-adjacent bedrooms and 1 parking. School catchment: J.W Sexsmith Elementary and Sir Winston Churchill Secondary. One Parking included. Open House: Feb 15/16 (Sat & Sun) from 2-4 pm. photo will come soon.",928000.0,CAD,2.0,2.0,884,,,,,,,,,,,,,,,,,,,,,"Carport; Single, Garage; Underground",,,0,,,,,,,,,,,Heat Pump,,,,,,,,,,,,,,,R2967150,,,,,,,,,,,,,"$3,289 (2024)",Condo,,,,,,,,884 SQFT,,,,Marpole,,,,Condo,,,,,,,,,,,,,,,,,"Carport; Single, Garage; Underground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carport; Single, Garage; Underground",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967150,,,,,,,,,,,,,,,,
"306 7638 CAMBIE STREET, Vancouver, BC V6P 3H7",Vancouver,BC,V6P 3H7,49.2156531,-123.1163426,"Brand-new Winona, move in Ready! ideally situated in the highly desirable Cambie Corridor. Designed by GBL Architects with LEED Gold certification, This bright and spacious 2 bedroom & 2 bathroom + flex unit providing a convenient living experience. Full-size WOLF gas cooktop & wall oven, SUBZERO appliance package and wide-plank engineered hardwood flooring throughout. 9' ceilings and air-conditioning , polished quartz counters with waterfall edge and bar seating in the gourmet kitchen. Bathrooms with hidden mirror storage and LED back lighting, non-adjacent bedrooms and 1 parking. School catchment: J.W Sexsmith Elementary and Sir Winston Churchill Secondary. One Parking included. Open House: Feb 15/16 (Sat & Sun) from 2-4 pm. photo will come soon.",918000.0,CAD,2.0,2.0,815,,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,0,,,,,,,,,,,Heat Pump,,,,,,,,,,,,,,,R2967149,,,,,,,,,,,,,"$3,200 (2024)",Condo,,,,,,,,815 SQFT,,,,Marpole,,,,Condo,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage; Underground,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967149,,,,,,,,,,,,,,,,
"1606 1082 SEYMOUR STREET, Vancouver, BC V6B 1X9",Vancouver,BC,V6B 1X9,49.2776305,-123.1229582,"FREESIA, Downtown style living, this SPACIOUS 1 bedroom & den corner suite home city view. Floor-to-ceiling windows allowing lots of natural sunlight, open layout gourmet-style kitchen, the solarium with windows perfect for home office or guest bedroom, Extra-large in-suite storage and a private open balcony. Recreational facilities include exercise gym, meeting room, outside garden and professional concierge services. Walking distance to Downtown/Yaletown shopping and dining, Canada Line station, Emery Barnes Park, Nesters Market, Shoppers Drug Mart, Orpheum Theatre and tons more! Showings by APPOINTMENT ONLY, Tenanted,24 hours notice is required",729000.0,CAD,1.0,1.0,708,,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,"Baseboard, Electric",,,,,,,,,,,,,,,R2967141,,,,,,,,,,,,,"$2,327 (2024)",Condo,,,,,,,,708 SQFT,,,,Downtown VW,,,,Condo,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967141,,,,,,,,,,,,,,,,
"905 1238 SEYMOUR STREET, Vancouver, BC V6B 6J3",Vancouver,BC,V6B 6J3,49.2757777,-123.1257613,"SPACE : Yaletown 9th floor loft corner unit(equivalent to 15th floor) with extensive renovation. This included the whole kitchen with quality cabinetry, updated appliances fridge, dishwasher, washer & Dryer, Bathroom, laminated floor & paint. 862 sq ft 1 bedroom & den facing Emery Barnes Park. 1 secured parking. Centrally located and only Blocks from Vancouver's best restaurants, night life, Seawall & skytrain station. Fitness room, lounge, workshop, 7,000+ SF of 4th floor common patios, rooftop deck & bike rm. Pets welcome w/size restricts & rentals OK.a party rm w/kitchen facilites & tv, a lge meeting rm, 2 common area grdn lounge areas",899000.0,CAD,1.0,1.0,862,,,,,,,,,,,,,,,,,,,,,Garage Underbuilding,,,1,,,,,,,,,,,"Baseboard, Electric",,,,,,,,,,,,,,,R2967131,,,,,,,,,,,,,"$2,535 (2024)",Condo,,,,,,,,862 SQFT,,,,Downtown VW,,,,Condo,,,,,,,,,,,,,,,,,Garage Underbuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage Underbuilding,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967131,,,,,,,,,,,,,,,,
"3203 1281 W CORDOVA STREET, Vancouver, BC V6C 3R5",Vancouver,BC,V6C 3R5,49.2901023,-123.1232033,"Callisto on the waterfront in Coal Harbour by esteemed Delta Group. This stunning corner suite boasts panoramic NE, Sand SW city/water/mountain views from main living areas . The den is set up as an ideal home office. Air-conditioned, gleaming hardwood floor, gas fireplace, stone/wood accented open gourmet kitchen and quality wool carpets in bedrooms . World class amenities include indoor pool, steam room, outdoor hot tub, fitness centre, theatre, event rooms, 24 hr concierge, 2 side-by-side parking stalls and storage locker. All just steps to the community centre, seawall, bike lanes, Stanley Park, shopping, restaurants, marina, new Coal Harbour school+ child care centre.",2990000.0,CAD,2.0,2.0,"1,573",,,,,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",,,1,,,,,,,,,,,"Forced Air, Other",,,,,,,,,,,,,,,R2967127,,,,,,,,,,,,,"$9,168 (2024)",Condo,,,,,,,,"1,573 SQFT",,,,Coal Harbour,,,,Condo,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967127,,,,,,,,,,,,,,,,
"1906 4815 ELDORADO MEWS, Vancouver, BC V5R 0B2",Vancouver,BC,V5R 0B2,49.2412212,-123.0575805,"VIEWS VIEWS VIEWS! Welcome to 2300 KINGSWAY centrally located at corner of Nanaimo and Kingsway. This is a rare 1 bed + flex high level east facing unit with UNOBSTRUCTED VIEW!!! Steps to Nanaimo skytrain station, bus station, T&T supermarket, restaurants, shoppers drug mart, banks, liquor store, etc. Super open layout, every efficient use of space. Large private balcony to enjoy the spectacular view. Includes one parking stall and one storage locker. Call your realtor today for a private viewing.",569900.0,CAD,1.0,1.0,549,,,,,,,,,,,,,,,,,,,,,Garage; Underground,,,0,,,,,,,,,,,"Baseboard, Electric",,,,,,,,,,,,,,,R2967107,,,,,,,,,,,,,"$1,757 (2024)",Condo,,,,,,,,549 SQFT,,,,Collingwood VE,,,,Condo,,,,,,,,,,,,,,,,,Garage; Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage; Underground,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967107,,,,,,,,,,,,,,,,
"2242 E 39TH AVENUE, Vancouver, BC V5P 1H8",Vancouver,BC,V5P 1H8,49.2346082,-123.0607289,"40 x 141 Ft Lot (5,640 square feet) in Prime East Van Location.  Rectangular middle lot on Quiet street. Raised Rancher with basement.  Lane access and detached Double Garage.  Street Parking and sidewalks.  R1-1 Zoning.",2200000.0,CAD,4.0,2.0,"2,261",0.13,,,,,,,,,,,,,,,,,,,,Garage; Single,,,0,,,,,,,,,,,Forced Air,,,,,,,,,,,,,,,R2967009,,,,,,,,,,,,,"$8,367 (2024)",Single Family,,,,,,,,"2,261 SQFT",,,,Victoria VE,,,,Single Family,,,,,,,,,,,,,,,,,Garage; Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage; Single,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967009,,,,,,,,,,,,,,,,
"208 811 HELMCKEN STREET, Vancouver, BC V6Z 1B1",Vancouver,BC,V6Z 1B1,49.2792468,-123.1255314,"Spacious 2 bdrm, 750 sqft east facing unit at 811 Helmcken, that offers an abundance of natural light creating a warm and inviting atmosphere. Bdrms separated for privacy. Beautiful glass french doors and light hazelnut laminate flooring leads from the dining area into the living room,enhancing the flow and connection between the rooms. Kitchen is equipped with stainless steel fridge and nmicrowave, and featuresa a convenient pass-through window to the dining area, making it perfect for entertaining. This bright unit is perfect for 1st time buyers, young families and investors looking for a 2 bdrm starter home.  concrete building features an on site building manager and recreation room, located centrally in downtown Vancouver close to the Museum, Pacific Ctr shopping, business district",770000.0,CAD,2.0,0.0,750,,,,,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",,,0,,,,,,,,,,,"Baseboard, Electric",,,,,,,,,,,,,,,R2967091,,,,,,,,,,,,,"$1,879 (2024)",Condo,,,,,,,,750 SQFT,,,,Downtown VW,,,,Condo,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garage; Underground, Visitor Parking",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967091,,,,,,,,,,,,,,,,
"802 1211 MELVILLE STREET, Vancouver, BC V6E 0A7",Vancouver,BC,V6E 0A7,49.2881661,-123.1241567,"Step into this well-designed lbed, lbath, corner unit & instantly feel at home. Expansive windows fill the space with natural light, enhancing the open-concept layout that flows effortlessly from one area to the next.A cozy fireplace adds warmth to the living space, while sliding doors lead to your private balcony, ideal for summer BBQs or morning coffee with fresh air. The bedroom, tucked away for privacy, features a generous closet & more floor-to-ceiling windows for a bright yet peaceful retreat.The kitchen overlooks the living & dining area, seamlessly connecting to the versatile solarium, perfect for a dining nook, home office, or indoor garden.Storage is no issue her-ith a walk-in pantry or flex space, plus a separate storage locker in the building.",799000.0,CAD,1.0,1.0,688,,,,,,,,,,,,,,,,,,,,,Garage Underbuilding,,,1,,,,,,,,,,,Electric,,,,,,,,,,,,,,,R2967079,,,,,,,,,,,,,"$2,363 (2024)",Condo,,,,,,,,688 SQFT,,,,Coal Harbour,,,,Condo,,,,,,,,,,,,,,,,,Garage Underbuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garage Underbuilding,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2967079,,,,,,,,,,,,,,,,
